2017-01-19 17:10:40.040 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:43.043 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:43.043 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:45.045 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:45.045 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:48.048 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:48.048 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:51.051 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:51.051 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:54.054 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:54.054 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:57.057 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:57.057 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:00.000 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:00.000 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:02.002 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:02.002 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:05.005 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:05.005 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:08.008 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:08.008 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:11.011 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:11.011 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:14.014 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:14.014 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:17.017 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:17.017 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:19.019 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:19.019 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:22.022 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:22.022 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:25.025 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:25.025 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:11:27.027 +0000	EndTestCase		(Duration:"159.957", Errors:"1", Exceptions:"0", StartTime:"2017-01-19 17:08:47 +0000", Successes:"2", TestCase:"AUFTPConfigure.script", Warnings:"0")
2017-01-19 17:11:27.027 +0000	ABORTED		Execution Time 0:02:40 AUFTPConfigure.script
